# The local net. One fact per line, in the pick language: key, terse form,
# English. The terse form is what travels; the English is expanded on arrival,
# because writing a token costs 1.136 s here and reading one costs 0.491.
#
# key	terse	english
self.maker	made by Trenten Bryant	Trenten Bryant built me. He wrote the rules I run on and the net I answer from.
sun.luminosity	3.828e26 W	It radiates 3.828 x 10^26 watts.
sun.age	4.6 Gyr	About 4.6 billion years old, roughly halfway through its main sequence life.
sun.fuel	600 Mt/s	It fuses about 600 million tonnes of hydrogen a second.
sun.fate	red giant 5 Gyr	In about 5 billion years it expands to a red giant, then leaves a white dwarf.
mercury.radius	R 2440 km	Mercury's radius is 2,440 km, the smallest planet.
mercury.orbit	0.387 AU	It orbits at 0.387 AU.
mercury.year	88 d	One Mercury year is 88 Earth days.
mercury.day	176 d	A solar day on Mercury lasts 176 Earth days, twice its year.
mercury.temp	-173 to 427 C	Surface swings from -173 C at night to 427 C in day, the widest in the system.
mercury.moons	0	Mercury has no moons.
venus.radius	R 6052 km	Venus's radius is 6,052 km, almost Earth's.
venus.orbit	0.723 AU	It orbits at 0.723 AU.
venus.year	225 d	One Venus year is 225 Earth days.
venus.day	243 d retrograde	It rotates once every 243 Earth days, backwards. Its day is longer than its year.
venus.temp	464 C	Surface temperature is 464 C, hotter than Mercury, from runaway greenhouse.
venus.pressure	92 bar	Surface pressure is 92 bar, like 900 m underwater on Earth.
venus.air	CO2 96%	The atmosphere is 96% carbon dioxide.
mars.orbit	1.524 AU	Mars orbits at 1.524 AU.
mars.year	687 d	One Mars year is 687 Earth days.
mars.day	24h37m	A Mars day is 24 hours 37 minutes, close to Earth's.
mars.moons	Phobos Deimos	Two small moons, Phobos and Deimos, likely captured asteroids.
mars.olympus	21.9 km	Olympus Mons rises 21.9 km, the tallest volcano known.
jupiter.radius	R 69911 km	Jupiter's radius is 69,911 km, eleven Earths across.
jupiter.mass	M 1.898e27 kg	1.898 x 10^27 kg, more than twice all other planets combined.
jupiter.orbit	5.204 AU	It orbits at 5.204 AU.
jupiter.year	11.86 yr	One Jupiter year is 11.86 Earth years.
jupiter.day	9h56m	It rotates in 9 hours 56 minutes, the fastest planet.
jupiter.moons	95 known	95 confirmed moons, four of them large enough to see in binoculars.
jupiter.spot	storm 16000 km	The Great Red Spot is a storm about 16,000 km wide, running for centuries.
jupiter.field	20000x earth	Its magnetic field is about 20,000 times Earth's.
saturn.radius	R 58232 km	Saturn's radius is 58,232 km.
saturn.orbit	9.583 AU	It orbits at 9.583 AU.
saturn.year	29.4 yr	One Saturn year is 29.4 Earth years.
saturn.density	0.687 g/cm3	Its mean density is 0.687 g/cm3, less than water.
saturn.rings	ice 10 m thick	The rings are mostly water ice, 280,000 km across but often only about 10 m thick.
saturn.moons	146 known	146 confirmed moons.
saturn.titan	thick atmosphere	Titan is the only moon with a dense atmosphere, and has lakes of liquid methane.
uranus.radius	R 25362 km	Uranus's radius is 25,362 km.
uranus.orbit	19.19 AU	It orbits at 19.19 AU.
uranus.year	84 yr	One Uranus year is 84 Earth years.
uranus.tilt	97.8 deg	Its axis is tipped 97.8 degrees, so it rolls along its orbit.
uranus.temp	-224 C	The coldest planetary atmosphere measured, -224 C.
uranus.moons	28 known	28 moons, named for Shakespeare and Pope characters.
neptune.radius	R 24622 km	Neptune's radius is 24,622 km.
neptune.orbit	30.07 AU	It orbits at 30.07 AU.
neptune.year	164.8 yr	One Neptune year is 164.8 Earth years. It has completed one orbit since discovery.
neptune.winds	2100 km/h	Wind speeds reach 2,100 km/h, the fastest in the solar system.
neptune.moons	16 known	16 moons, dominated by Triton.
neptune.found	math first	It was predicted from perturbations in Uranus's orbit before being seen.
pluto.radius	R 1188 km	Pluto's radius is 1,188 km, smaller than Earth's Moon.
pluto.orbit	39.5 AU	It orbits at 39.5 AU on a tilted, eccentric path.
pluto.year	248 yr	One Pluto year is 248 Earth years.
pluto.moons	5 known	Five moons; Charon is half Pluto's size, so they orbit a point between them.
moon.io	volcanic	Io is the most volcanically active body known, heated by tidal flexing.
moon.europa	ocean under ice	Europa has a liquid water ocean under its ice shell, possibly twice Earth's water.
moon.ganymede	R 2634 km largest	Ganymede is the largest moon in the solar system and the only one with a magnetic field.
moon.callisto	oldest surface	Callisto has the most heavily cratered surface known.
moon.titan	R 2575 km	Titan is the second largest moon, with a nitrogen atmosphere thicker than Earth's.
moon.enceladus	geysers	Enceladus vents water plumes from a subsurface ocean through cracks at its south pole.
moon.triton	retrograde	Triton orbits Neptune backwards, so it was captured rather than formed there.
moon.origin	giant impact	Earth's Moon likely formed when a Mars-sized body struck the early Earth.
belt.asteroid	2.2-3.2 AU	The main asteroid belt lies between Mars and Jupiter, total mass about 4% of the Moon.
belt.ceres	R 473 km	Ceres is the largest asteroid and a dwarf planet, 473 km in radius.
belt.kuiper	30-50 AU	The Kuiper Belt extends from 30 to 50 AU and holds Pluto and many icy bodies.
belt.oort	2000-100000 AU	The Oort Cloud is a spherical shell of comets far beyond the planets.
comet.tail	solar wind	A comet's tail points away from the Sun, pushed by radiation and solar wind, not by motion.
comet.halley	76 yr	Halley's Comet returns every 76 years; next perihelion is 2061.
star.proxima	4.246 ly	Proxima Centauri is the closest star at 4.246 light years, a red dwarf.
star.alphacen	triple 4.37 ly	Alpha Centauri is a triple system 4.37 light years away.
star.sirius	8.6 ly brightest	Sirius is the brightest star in Earth's sky, 8.6 light years away.
star.betelgeuse	red supergiant	Betelgeuse is a red supergiant about 548 light years away, due to go supernova.
star.vega	25 ly	Vega is 25 light years away and was the northern pole star 12,000 years ago.
star.polaris	433 ly	Polaris sits near the north celestial pole, 433 light years away.
star.nearest_count	60 in 16 ly	About 60 star systems lie within 16 light years of the Sun.
star.count_visible	9096 naked eye	About 9,096 stars are visible to the naked eye across the whole sky.
star.main_sequence	fusing hydrogen	A main sequence star fuses hydrogen to helium in its core. Most stars are here.
star.red_dwarf	most common	Red dwarfs are the most common stars, small and cool, burning for trillions of years.
star.white_dwarf	earth sized	A white dwarf is a dead stellar core, Earth sized but sun massed, held by electron pressure.
star.neutron	12 km radius	A neutron star packs more than a solar mass into about 12 km, denser than an atomic nucleus.
star.pulsar	spinning beam	A pulsar is a neutron star whose beam sweeps past us, ticking with clock accuracy.
star.magnetar	strongest field	A magnetar has the strongest magnetic field known, a thousand trillion times Earth's.
star.supergiant	short lived	Supergiants burn fuel fast and live only millions of years instead of billions.
star.binary	half of stars	Roughly half of all stars are in binary or multiple systems.
star.hr_diagram	luminosity vs temp	The Hertzsprung-Russell diagram plots luminosity against temperature and sorts stars by life stage.
star.chandrasekhar	1.4 solar mass	Above 1.4 solar masses a white dwarf cannot hold itself up and collapses.
star.tov_limit	2-3 solar mass	Above roughly 2 to 3 solar masses a neutron star collapses to a black hole.
star.supernova	core collapse	A massive star's core collapses when fusion stops, and the rebound blows the star apart.
star.supernova_1a	white dwarf detonates	A type Ia supernova is a white dwarf pushed past its limit, always the same brightness.
star.standard_candle	measure distance	Because type Ia supernovae have fixed brightness, their dimness gives distance.
star.nucleosynthesis	elements in cores	Stars fuse hydrogen up to iron. Everything heavier needs a supernova or a neutron star merger.
star.iron_peak	fusion stops	Iron is the end of profitable fusion, so a core of iron has no fuel left.
star.kilonova	neutron stars merge	Colliding neutron stars forge gold, platinum and other heavy elements.
bh.definition	escape exceeds c	A black hole is a region where escape velocity exceeds light speed.
bh.horizon	point of no return	The event horizon is the boundary, not a surface, past which nothing returns.
bh.schwarzschild	r = 2GM/c2	The Schwarzschild radius is 2GM/c^2. For the Sun that is about 3 km.
bh.singularity	theory breaks	General relativity predicts infinite density at the centre, which means the theory fails there.
bh.hawking	slow evaporation	Black holes radiate faintly and evaporate, taking longer than the universe's age for stellar ones.
bh.sagittarius	4.3e6 solar mass	Sagittarius A* at the Milky Way's centre is 4.3 million solar masses.
bh.m87	first image	M87's black hole, 6.5 billion solar masses, was the first ever imaged, in 2019.
galaxy.milkyway	100000 ly across	The Milky Way is a barred spiral about 100,000 light years across.
galaxy.milkyway_stars	100-400 billion	It holds an estimated 100 to 400 billion stars.
galaxy.sol_position	26000 ly out	The Sun sits about 26,000 light years from the galactic centre, in the Orion Arm.
galaxy.year	230 Myr	The Sun takes about 230 million years to circle the galaxy once.
galaxy.milkyway_mass	1.5e12 solar	Total mass is about 1.5 trillion solar masses, most of it dark matter.
galaxy.andromeda	2.537 Mly	Andromeda is 2.537 million light years away, the nearest large galaxy.
galaxy.collision	4.5 Gyr	Andromeda and the Milky Way will merge in about 4.5 billion years.
galaxy.local_group	80 galaxies	The Local Group holds about 80 galaxies, dominated by Andromeda and the Milky Way.
galaxy.types	spiral elliptical irregular	Galaxies sort into spiral, elliptical and irregular.
galaxy.count	2e12 estimated	The observable universe holds an estimated 2 trillion galaxies.
galaxy.dwarf	most numerous	Dwarf galaxies are the most common type, though the faintest.
galaxy.quasar	feeding black hole	A quasar is a supermassive black hole feeding so hard it outshines its whole galaxy.
galaxy.rotation_problem	dark matter evidence	Galaxies spin too fast for their visible mass, which is the main evidence for dark matter.
cosmos.virgo	local supercluster	The Virgo Supercluster contains the Local Group and about 100 galaxy groups.
cosmos.laniakea	520 Mly across	Laniakea is the supercluster containing Virgo, 520 million light years across.
cosmos.web	filaments and voids	Matter is arranged in filaments and sheets around vast empty voids.
cosmos.great_attractor	gravitational pull	The Local Group is falling toward the Great Attractor at about 600 km/s.
cosmos.void	boötes 330 Mly	The Boötes Void is 330 million light years across and nearly empty.
cosmos.largest_structure	hercules-corona	The Hercules-Corona Borealis Great Wall may span 10 billion light years.
universe.age	13.787 Gyr	The universe is 13.787 billion years old, measured from Planck satellite data.
universe.observable	93 Gly across	The observable universe is about 93 billion light years across.
universe.expansion	70 km/s/Mpc	Space expands about 70 km/s for every megaparsec of distance.
universe.accelerating	dark energy	The expansion is speeding up, which is attributed to dark energy.
universe.composition	68 dark energy 27 dark matter	About 68% dark energy, 27% dark matter, 5% ordinary matter.
universe.ordinary_matter	4.9%	Everything ever seen or touched is 4.9% of the universe.
universe.flat	geometry	Measurements show space is flat to within a small margin.
universe.cmb	2.725 K	The cosmic microwave background is 2.725 K, the cooled glow of the early universe.
universe.cmb_uniform	1 part in 100000	The background is uniform to one part in 100,000, and those ripples became galaxies.
universe.horizon	46.5 Gly radius	Light reaching us now started 46.5 billion light years away, after expansion.
universe.fate	heat death	Current data suggests indefinite expansion ending in heat death.
universe.olbers	dark sky	The night sky is dark because the universe has finite age, not infinite stars.
bang.singularity	hot dense start	The universe began in a hot dense state and has been expanding ever since.
bang.inflation	1e-32 s	In the first 10^-32 seconds space expanded by a factor of at least 10^26.
bang.quark_epoch	1e-6 s	Quarks roamed free until about a microsecond in, when they bound into protons.
bang.nucleosynthesis	3 min	Between 10 seconds and 20 minutes, protons fused into helium and a trace of lithium.
bang.recombination	380000 yr	At 380,000 years atoms formed, space became transparent, and the CMB was released.
bang.dark_ages	no stars	From 380,000 years to about 150 million years there were no stars, only cooling gas.
bang.first_stars	150-200 Myr	The first stars lit about 150 to 200 million years in, huge and short lived.
bang.first_galaxies	400 Myr	Galaxies began assembling around 400 million years after the start.
const.light_speed	299792458 m/s	Light travels 299,792,458 m/s in vacuum, exactly, because the metre is defined by it.
const.gravitation	6.674e-11	The gravitational constant is 6.674 x 10^-11 m3/kg/s2, the least precisely known constant.
const.planck	6.626e-34 J s	Planck's constant is 6.62607015 x 10^-34 J s, exact by definition since 2019.
const.boltzmann	1.381e-23 J/K	The Boltzmann constant is 1.380649 x 10^-23 J/K, exact by definition.
const.avogadro	6.022e23	Avogadro's number is 6.02214076 x 10^23, exact by definition.
const.charge	1.602e-19 C	The elementary charge is 1.602176634 x 10^-19 coulombs, exact by definition.
const.planck_length	1.616e-35 m	The Planck length is 1.616 x 10^-35 m, where known physics stops making sense.
const.planck_time	5.39e-44 s	The Planck time is 5.39 x 10^-44 seconds.
const.planck_mass	2.176e-8 kg	The Planck mass is 2.176 x 10^-8 kg, about the mass of a flea egg.
const.fine_structure	1/137	The fine structure constant is about 1/137 and has no known explanation.
const.stefan	5.67e-8	The Stefan-Boltzmann constant is 5.67 x 10^-8 W/m2/K4.
const.gas	8.314 J/mol/K	The ideal gas constant is 8.314 J per mole per kelvin.
part.electron	9.109e-31 kg	The electron masses 9.109 x 10^-31 kg and has no known substructure.
part.proton	1.673e-27 kg	The proton masses 1.673 x 10^-27 kg and is made of three quarks.
part.neutron	1.675e-27 kg	The neutron is slightly heavier than the proton and decays in 15 minutes when free.
part.quark_types	six flavours	Six quarks: up, down, charm, strange, top, bottom.
part.lepton_types	six	Six leptons: electron, muon, tau and their neutrinos.
part.boson_force	four carriers	Force carriers are the photon, gluon, W and Z.
part.higgs	125 GeV	The Higgs boson is about 125 GeV and gives other particles mass.
part.standard_model	17 particles	The Standard Model has 17 fundamental particles and explains all but gravity.
part.neutrino	barely interacts	Trillions of neutrinos pass through you each second without touching anything.
part.antimatter	mirror charge	Every particle has an antiparticle with opposite charge; why matter won is unsolved.
elem.hydrogen	75% of matter	Hydrogen is 75% of ordinary matter by mass and the simplest atom.
elem.helium	23% of matter	Helium is 23% by mass, most of it made in the first minutes of the universe.
elem.lithium	trace primordial	Lithium is the heaviest element made in the Big Bang, and only in traces.
elem.carbon	life backbone	Carbon bonds four ways, which is why it underpins every known organism.
elem.oxygen	third most common	Oxygen is the third most abundant element and 21% of Earth's air.
elem.iron	26 fusion end	Iron, element 26, is where fusion stops paying and stellar cores die.
elem.gold	neutron star merger	Gold is forged in neutron star collisions, not in ordinary stars.
elem.uranium	92 heaviest natural	Uranium, element 92, is the heaviest element found in quantity in nature.
elem.count_natural	94	Ninety-four elements occur naturally; the rest are made in labs.
elem.periodic_law	repeats by shell	Element properties repeat because electron shells fill in a regular pattern.
lookup.rarity	rare words weigh more	Hits are weighted by how few entries contain the word. A term in one entry of 345 outranks a generic one in forty.
lookup.prefix_half	partial counts half	A prefix hit scores half an exact hit. Without that, come reached comet and stole a question about gold.
lookup.synonym_query_only	expand the ask not the net	Synonyms carry the asker's words into mine. Applied to a stored key they invent matches that were never written.
lookup.later_wins	corrections supersede	On a tie the later row wins, so a correction appended below the fact it corrects is the one I return.
lookup.key_must_mean	name the idea not the symbol	A key is weighted triple, so a key with no meaning in it can never win. const.c was unreachable until it became const.light_speed.
